                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74934,                0.45766,                0.90213,                0.97073,                0.95166,                0.98638,                0.76828,                0.80537,                0.46241,                0.97211,               0.006535,               0.006535,               0.006535
                     37,                0.75112,                0.46078,                0.91113,                0.88981,                0.92413,                0.96882,                0.77191,                0.77861,                0.48056,                0.96557,               0.006436,               0.006436,               0.006436
                     38,                0.73086,                0.45607,                0.91001,                0.95461,                0.91203,                0.97352,                0.80033,                0.74732,                0.45218,                0.95715,               0.006337,               0.006337,               0.006337
                     39,                0.73192,                0.45103,                0.91341,                0.86655,                0.95133,                0.95853,                0.77174,                0.77668,                0.45359,                 0.9669,               0.006238,               0.006238,               0.006238
                     40,                0.72766,                0.44715,                 0.9046,                0.91527,                0.88249,                0.94007,                0.76991,                0.75312,                0.44026,                0.95481,               0.006139,               0.006139,               0.006139
                     41,                0.72226,                 0.4414,                0.89932,                0.97119,                0.84059,                0.94376,                0.72342,                0.77666,                0.44733,                0.96469,                0.00604,                0.00604,                0.00604
                     42,                0.71225,                0.42639,                0.89986,                0.89646,                0.95593,                0.95967,                 0.7682,                0.77562,                0.46642,                0.96464,               0.005941,               0.005941,               0.005941
                     43,                0.71883,                0.43691,                0.89472,                 0.9154,                0.98926,                0.98005,                0.81675,                0.74812,                0.43104,                0.95826,               0.005842,               0.005842,               0.005842
                     44,                0.70885,                0.42922,                0.89001,                0.91087,                0.97665,                 0.9768,                0.82731,                0.74858,                0.44999,                0.96252,               0.005743,               0.005743,               0.005743
                     45,                 0.7072,                0.42885,                0.89876,                0.92267,                0.90775,                0.97002,                0.79694,                0.74374,                0.42645,                0.95969,               0.005644,               0.005644,               0.005644
                     46,                0.68776,                0.42117,                0.88769,                0.86437,                 0.9058,                0.93778,                0.77539,                0.75889,                0.45983,                0.96896,               0.005545,               0.005545,               0.005545
                     47,                0.67233,                0.41635,                0.89068,                0.83824,                0.94199,                 0.9487,                0.79526,                0.70597,                0.42222,                0.95027,               0.005446,               0.005446,               0.005446
                     48,                0.69476,                 0.4151,                0.88891,                0.91114,                0.97771,                0.96403,                0.79622,                0.73586,                0.42844,                 0.9532,               0.005347,               0.005347,               0.005347
